time,SSCxs_mg_per_liter,SSCpt_mg_per_liter,Site_number
23-Feb-2000 18:00:00,759.032843981629,896.412575503866,120001A
23-Feb-2000 19:00:00,766.075922199698,905.257251283837,120001A
23-Feb-2000 20:00:00,780.804536927138,923.122858044544,120001A
23-Feb-2000 21:00:00,788.343075991446,932.955675748435,120001A
23-Feb-2000 22:00:00,804.570382734569,952.917664871439,120001A
23-Feb-2000 23:00:00,820.417351679372,972.78042245655,120001A
24-Feb-2000 00:00:00,822.762776697735,977.135974747369,120001A
24-Feb-2000 01:00:00,832.687376369573,990.061008985046,120001A
24-Feb-2000 02:00:00,829.778561265973,988.037094645071,120001A
24-Feb-2000 03:00:00,829.643765429826,988.89821240164,120001A
24-Feb-2000 04:00:00,823.864456197164,982.938322659141,120001A
24-Feb-2000 05:00:00,827.703717426311,987.88336435607,120001A
24-Feb-2000 06:00:00,840.706799555606,1003.58128196987,120001A
24-Feb-2000 07:00:00,854.069102649964,1020.01253248916,120001A
24-Feb-2000 08:00:00,873.525384803088,1043.84666556156,120001A
24-Feb-2000 09:00:00,901.069427704003,1077.60246138122,120001A
24-Feb-2000 10:00:00,933.305565113574,1117.50996021295,120001A
24-Feb-2000 11:00:00,974.372508977821,1168.44845357055,120001A
24-Feb-2000 12:00:00,1015.06442738912,1219.86753054485,120001A
24-Feb-2000 13:00:00,1045.30172779759,1259.60234304774,120001A
24-Feb-2000 14:00:00,1076.03436316971,1300.21404591879,120001A
24-Feb-2000 15:00:00,1094.71563221202,1326.66090432495,120001A
24-Feb-2000 16:00:00,1129.26855988717,1371.8088174027,120001A
24-Feb-2000 17:00:00,1146.34304594401,1396.41535651598,120001A
24-Feb-2000 18:00:00,1177.18587287199,1437.26413063403,120001A
24-Feb-2000 19:00:00,1177.49300159578,1441.76699777299,120001A
24-Feb-2000 20:00:00,1172.55832210164,1439.25956243137,120001A
24-Feb-2000 21:00:00,1162.00944369613,1429.23154956129,120001A
24-Feb-2000 22:00:00,1127.35514379422,1389.46768910577,120001A
24-Feb-2000 23:00:00,1102.54612646239,1360.20239059936,120001A
25-Feb-2000 00:00:00,1095.11071134484,1351.02579637407,120001A
25-Feb-2000 01:00:00,1077.30161887395,1329.25250909973,120001A
25-Feb-2000 02:00:00,1034.89511765796,1277.58358135329,120001A
25-Feb-2000 03:00:00,1015.56938229797,1252.64093990098,120001A
